,nickname,text,score,like,dislike,time,watch_movie
0,최예림(mini****),"나문희님은 원래부터 믿고보는 배우였지만, 김수안 배우는 ㄹㅇ 깜짝 놀람ㅠ 연기 너무 잘해서 눈물 줄줄 흘리고 왔습니다,,,",9,481,121,2019-12-04 10:20:00,관람객
1,fink****,괜히 아침부터 봤다가 눈물바다 됨,9,304,126,2019-12-04 10:17:00,관람객
2,스퍼맘(007a****),병원에 계신 할머니 생각도 나고 너무 슬퍼요.그런데 스토리가 진부해요..평점이 다 10점인건 이해가 잘..약간 억지웃음코드 유발장면이 많구요.옛날 신파극 같은 느낌이에요.나문희 배우님 연기는 최강 인정입니다.,5,197,70,2019-12-05 06:53:00,0
3,쏭찌미카엘(wldb****),모든 배우분들 사투리가 너무너무 어색하고그로인해 영화 집중도 안됫지만 스토리도너무 중구난방 이네요...두 주연분들 믿고 봤지만 실망의 연속...,1,267,170,2019-12-04 20:39:00,0
4,floater(floa****),배우들 재능낭비.21세기에 어떻게 이런 영화가 나올 수 있을까..,2,166,73,2019-12-05 22:34:00,0
5,깜찍걸님(t21s****),전 왜 눈물이 안나죠.... 할머니와 산 시간이 얼마되지않아서 그런가.. 억지스러운면이 있는거같아요 배우분들 연기는 좋은데 사투리가 좀 어색하고요 대사도 조금 안들리는 부분이 있었어요.. 엄마에 대해 더 자세히 나왔...,6,269,177,2019-12-04 16:40:00,0
6,bjhl****,"부산사람인데, 진짜 농담안하고 소름돋게 사투리연기가 다들 엉망진창이라 보다가 지금 나와서 쓰고있습니다. 너무 싫어요. 대체 씨잘데없이 사투리는 왜자꾸 안되는걸 다같이 안되면서 쓰고있는건지 알수가없네. 스토리가 어떤지...",1,227,137,2019-12-05 20:41:00,0
7,쇼엽호(tjsd****),작위적이고 억지스럽고,3,145,65,2019-12-06 12:46:00,0
8,우지밍(wooj****),웃음코드도 많았고 울기도 많이 울었네요ㅠㅠ 혼영이었는데 기회가 된다면 가족이랑 한 번 더 보고싶습니다..,9,167,90,2019-12-04 10:20:00,관람객
9,유베호디(hoho****),휴지 꼭 챙겨가세요... 눈물콧물 다 흘리고 왔어요. 연말에 보기 좋은 영화네요. 힐링했습니다.,9,177,102,2019-12-04 10:25:00,관람객
10,ooo7894(gowb****),스토리 개판 초반에 너무 지루하고 마지막에 급 감동모드 감동을 쥐어짜려하는전개 나문희님에 연기로 그나마 참고봄,2,155,81,2019-12-04 18:41:00,0
11,라돌체비타(khle****),김수안배우는 연기의 성장판이 활짝 열려있다. 그녀의 미래처럼.,10,109,37,2019-12-04 15:09:00,0
12,막동이(nocu****),대다수가 홍보팀의 댓글들뿐,2,165,95,2019-12-04 19:13:00,0
13,wiz723(jung****),전형적인 한국 드라마... 애가 너무 애답지 않아서 감동이 반감 되었다.. 거기다 치매라니... 치매는 빼지.. 유쾌발랄인줄 알았더니.. 한국식 신파..,6,113,46,2019-12-05 23:11:00,0
14,주먹왕랄프(toth****),손발이오그라들고 몰입도를방해하는대사 누가봐도 예측가능한 뻔한스토리 제발 우리영화를보고 울어달라는 예전부터틀에박힌 역겨운 한국전통 신파가합쳐진 종합선물세트 마지막대사는 가히 내스스로 나의귀를막게하는 대사였다 진주목걸이...,2,111,45,2019-12-07 11:08:00,0
15,성공(pjm3****),후반부로 갈수록 개연성 박살임. 뜬금없는 연출과 갑작스러운 죽음과 뜬금없는 만남 ㅋㅋ 아 돈버렸다.,1,107,48,2019-12-06 01:42:00,0
16,서열0위(msky****),"아아 이렇게 추운 날씨에 정말 가슴 따뜻해지는 영화였습니다. 나문희 선생님 연기는 말할 것도 없었고, 스토리에서 따뜻함과 유쾌함까지 즐길 수 있었습니다. 연말에 딱 어울리는 영화입니다! 외할머니에게 전화드리러 가야겠...",10,114,58,2019-12-04 10:12:00,관람객
17,haiin(hai_****),좋아하는 배우들이 나와서 오랜만에 엄마랑 데이트하려고 봤는데 정말 너무 실망했어요...스토리도 너무 억지스럽고 사투리도 정말 어색해서 못들어주겠고.. 영화보면서 아까운느낌은 참 간만이네요.. 아쉬워요 저의 금요일 밤...,1,309,254,2019-12-06 23:56:00,관람객
18,dbfk****,배우님들 연기는 잘하시는데 스토리가;;;; 뭐가 슬프다는거죠 슬픈거만 모아다놓으면 슬픈건가요ㅠ 감동도 슬픔도없고 친구랑 끝까지 뭐가 감동인건지만 찾다 나왔어요,1,427,372,2019-12-05 16:00:00,관람객
19,송다은(dewe****),스포일러가 포함된 감상평입니다. 감상평 보기,1,109,61,2019-12-11 07:22:00,관람객
20,lys4****,연기는 다들 훌륭한데..스토리 구성이 자연스럽지가 않네요!!억지 신파도 좀있네요!!,6,61,18,2019-12-05 12:28:00,0
21,유라(yura****),"인생을 곱씹어 볼 수 있게 해준 영화, 인생을 다 돌아봐도 이 정도로 최악인 영화는 없었던 것 같습니다.. 진짜 눈물만 짜게 하기 위해 개연성, 스토리 다 버린 영화",1,87,44,2019-12-05 18:25:00,0
