,nickname,text,score,like,dislike,time,watch_movie
0,허현(heoh****),평점 알바 특. 내용얘기보다 배우 연기 좋단말만 주구장창함...,6,1100,345,2020-06-11 11:22:00,0
1,황금마차(goga****),평점 알바풀었나...,1,698,371,2020-06-11 09:04:00,0
2,케구리(jhw6****),배우들의 연기만 좋았음 하지만 단점이 확실히 보인다. 영화 초반부 사건이 터지고 주인공의 변호사 실력을 보여주는 장면 그리고 잊고 살았던 아버지의 상을 뉴스로 접하면서 고향에 내려가는 초반부 까지만 영화는 잘 굴러갔...,2,556,270,2020-06-10 14:11:00,0
3,sssssssssssssssss(giho****),댓글 알바 소름이다 ㅋㅋㅋㅋ 너무 중간 중간 억지 감동 포인트 우겨넣어서 불편했는데 결말까지 그렇네 ㅋㅋㅋㅋ 댓글알바 특: 배우 연기 미쳤어요~ 꺅 ㅋㅋㅋㅋ,1,482,259,2020-06-12 19:21:00,0
4,깁스(volk****),실망 뻔한스토리에 억지스럼,1,506,312,2020-06-11 07:00:00,0
5,띠루(ysy8****),신혜선연기 넘 좋았어요!!,10,701,511,2020-06-13 14:46:00,관람객
6,몽샤(mari****),신혜선 배우 큰 스크린으로 봐도 아우라 장난아니다. 연기력 원래 쩌는건 알았는데 이번에 새삼 다시 보게됨! 동생 역 배우도 처음 보는데 연기 너무 잘한다. 연기구멍 1도 없어서 그런지 몰입도도 좋고. 오랜만에 극장에...,10,571,385,2020-06-10 17:07:00,관람객
7,달고나(mjh5****),뻔한 신파극 평점알바풀었나 배우들 연기만 좋음,1,401,264,2020-06-11 10:31:00,0
8,Nujabes(edit****),뻔뻔한 연출 식상한 유머코드,1,371,245,2020-06-11 02:04:00,0
9,꿈꾸는이(skna****),엄마와 딸의 사랑이 보기 좋았다. 연기력이 뛰어나고 영상미도 좋았다.,9,346,222,2020-06-12 13:30:00,관람객
10,만두(mahn****),신혜선 배종옥 연기 미쳤다... 소름 돋네요!!!! 아쉬운 것들 조차 다 덮어버리네여,10,310,188,2020-06-10 14:25:00,관람객
11,171750(bx33****),보기 전에 지루하다는 평이 있어서 좀 걱정했는데 최근 본 영화 중에 가장 꿀잼이었어용 익숙한 소재고 농촌 지역 사건이라 규모가 좀 작아서 그렇게 느끼는 것 같기도??? 근데 스토리 탄탄하고 크고 작은 반전들이 있어서...,10,461,348,2020-06-10 13:32:00,관람객
12,쉐도우팍(cono****),오늘 엄마랑 같이 봤는데 강추 ..스토리 탄탄 해서 지루할 틈이없음 ...,10,294,192,2020-06-11 22:57:00,관람객
13,Lovelyjs(jjs1****),코로나때문에 5-6개월만에 본 영화라 더 재밌게봤어요!!연기력도 좋고 잘봤어요,10,291,190,2020-06-14 17:04:00,관람객
14,블랙소(blac****),간만에 넘 재밌게 본 영화. 배우들 연기와 포스도 후덜덜하고 특히 신혜선 배우의 재발견. 몰입도도 좋고 긴장감 있게 잘 봤음 bbbb,10,300,214,2020-06-10 13:33:00,관람객
15,이재희(qse5****),신혜선이라는 배우 타이틀에 길이 남을 작품 인거 같아요! 오랜만에 영화관 가서 잘 보고 왔습니다,8,306,221,2020-06-12 23:41:00,관람객
16,mjg(mjg0****),평점 9.71은 오바다 7점 정도가 적당함,1,185,102,2020-06-14 13:42:00,0
17,에베베베(torr****),,1,226,153,2020-06-11 00:40:00,0
18,whdm****,칼에 찔려죽는 사람 보다 혀에찔려죽는 사람이 더 많다,9,89,20,2020-06-15 22:17:00,0
19,밍찌(onet****),신혜선 완전 영또 매운맛ㅠㅠㅠ 안정인한테 감정이입되는 결말까지 완벽,10,283,231,2020-06-10 13:17:00,관람객
20,57(ddm2****),건너건너 알음알음 학연 지연 핏줄로 똘똘 뭉쳐 대대손손 누리는 무소불위 막강권력 시골토호놈들,10,175,139,2020-06-10 13:08:00,0
21,gice****,그저 그랬던것 같아요~~~,8,224,191,2020-06-13 12:58:00,관람객
22,DOOM(mlbd****),배우분들의 연기가 좋아서 몰입이 너무 됐습니다.,10,70,38,2020-06-14 11:02:00,관람객
23,일루셔봉(smar****),긴장감과 몰입감 최고! 2시간 정말 순삭임!,10,147,116,2020-06-10 13:44:00,관람객
