,nickname,text,score,like,dislike,time,watch_movie
0,민스(alst****),지금까지영화보면서처음부터끝까지계속울어본적은처음이네요..너무슬퍼요ㅜㅜ,10,443,20,2013-07-28 20:27:00,0
1,hanp****,웹툰은 영화화할 때마다 거의 혹평을 받는데 이것은 오히려 더 잘 만든게 신기하네요.,10,389,16,2013-06-07 12:41:00,0
2,yjfj****,정말감동적입니다·· 최고네요 마음이따뜻해지는영화♡,10,317,10,2013-06-26 01:52:00,0
3,MJ(elfs****),아 우리할아버지할머니 생각나서 눈물폭발 ㅠㅠㅜ,10,302,12,2013-07-17 01:13:00,0
4,소심쟁이(naeh****),원작을 영화화시킨게 역부족이었다고?내가볼땐 원작못지않게 최고인데 . 미치도록 감동적이고 ... 따뜻했다,10,244,7,2013-09-30 00:59:00,0
5,참새(wlst****),지금까지 봤던 영화중에 가장슬펐음7번방의 선물처럼 억지로 눈물쥐어짜내려는것도 없었음.그리고 배우들이 다들 베테랑이셔서 그런지 연기력도 최고였음.,10,234,8,2013-07-08 01:05:00,0
6,momo****,내 생에 최고의 영화....어찌나 눈물이 나던지...이순재 선생님의 연기는 정말.... 최고입니다..진심으로 사랑합니다..,10,187,5,2013-07-13 03:14:00,0
7,휘핑크림(y156****),눈물없이는 볼수없는 영화 원작도 그랬고 영화도 그렇다 나도 그들처럼 사랑하고 그렇게 늙고싶다...,10,139,4,2013-06-25 03:22:00,0
8,조니안조니(ascd****),가슴이 따뜻해지는 영화 사랑에는 나이가 없는 것 같다 추운 겨울과 같이 쓸쓸하고 외로운 어르신들이 서로 사랑하고 인간적인 정으로 추운 겨울을 이겨내 나가시는.. 영화 보고 난 후 가장 생각을 많이 하게 된 영화 였다...,10,124,6,2013-06-25 00:23:00,0
9,윤용철(loha****),가슴이 아프다고 느껴지먄 나도 인생황혼이 생각드는 나이일까? 아침내  울었다..내 보는내내피할수 없이 맞게되는 늙음..나도 젊었던 나도 이젠....참  세월. 빠르다..ㄴ어릴적 사진을 본다.  1963년쯤 되나보다....,10,94,5,2013-07-27 07:31:00,0
10,gour****,"현재까지 웹툰을 원작으로 한 영화중에서  가장  잘 만든 작품. 제발 스릴러 작품이나, 어설픈 북괴 만화를 영화화하는건 그만 만들고, 이런 소소한 이야기나 영화화 해라. 자극적인건만 선호하지좀 말고",8,91,10,2013-11-26 20:19:00,0
11,ㅇㅇ(su97****),영화보면서 대성통곡한건 처음...,10,68,1,2013-11-24 01:10:00,0
12,zing****,김수미 자식들을보면서 가슴이먹먹해져왔습니다. 현실의우리를보는거같아부끄럽기도하고 죄송스럽기도하고  씁쓸합니다. .,9,67,2,2013-02-03 04:27:00,0
13,안해요(shan****),정말 감동입니다 영화관에서 보고 오래 지나 다시 생각나 검색하다가 평점 남기고 갑니다 최고의 영화 ㅠㅠ,10,58,1,2013-07-05 22:47:00,0
14,풋풋풋(ehdg****),와 진짜슬프다. 웹툰과는 또다른 느낌이네요,10,55,2,2013-11-20 21:38:00,0
15,여신태희(lkyl****),정말 아름다운 영화였다,10,51,2,2013-11-16 13:25:00,0
16,위대장(wija****),기자 평론가들의 점수는 날이 갈수록 믿을수가 없어지네요...  점수가 중요치 않은 영화 ~~,10,48,1,2013-11-24 03:44:00,0
17,헬로(dlrk****),ㅜㅜ보는내내 꺼이꺼이울었다,10,50,4,2013-06-01 17:39:00,0
18,사랑 그 치명적인(kj47****),이런 영화가 좀 많이 나오면 좋겠다.,10,42,0,2014-03-18 20:36:00,0
19,kdw8****,개인적인 생각으로 강풀님 다른영화보다 그대를 사랑합니다가 유독 평점이 좋은이유는 원작 거의 그대로를 옮겨서임 바보/순정만화/ 이런거 보면 너무 많이 손대서 망한것같음,10,43,1,2013-11-26 16:42:00,0
