,nickname,text,score,like,dislike,time,watch_movie
0,chos****,울고싶어서 오랜만에 봤댜막판에 폭풍눈물쏟다가 머리아파서타이레놀먹고 누움,10,1626,78,2013-06-24 06:10:00,0
1,파르페(soha****),영화채널에서 하는거 보고있는데 진짜 다섯번은 더봤는데 볼때마다 눈물..8년도 더된 영환데 이건 지금 개봉해도 대박날거다,10,851,47,2013-06-27 13:02:00,0
2,이용진ㅋ(grat****),"마지막 자동차씬에서 정우성의 ""사랑해""는 정말 대박..",10,722,42,2013-06-27 13:44:00,0
3,코아사랑(lees****),이게 벌서 9년전 영화군. 개봉 당시 극장에서 봤는데 지금 생각하면 흔하디 흔한 소재를 잘 풀어냈다. 개인적으로 한국영화 중 탑5안에 꼽음.,8,637,42,2013-07-11 23:36:00,0
4,Presto(jhwh****),손예진 리즈시절을 보고 싶다면 이걸 보세요. 건축학 개론 수지 그냥 발라 버립니다.,10,595,40,2016-03-25 01:02:00,0
5,다은(nowh****),정말 거짓말 하지않고 이영화를 15번째 봤습니다. 볼 때 마다 눈시울을 붉게 만들어주는 영화입니다. 가슴이 아려오고 저릿해오는 영화! 아직까지 못보신분들있으시다면 꼭 보세요 후회안하실거예요! 더해서 눈도 즐거워요~ ...,10,516,43,2013-07-12 01:33:00,0
6,am307(ophe****),영민씨 사랑해 응 그래 일찍올게 아 진짜 가슴이 미어진다,10,441,25,2013-12-26 18:47:00,0
7,김진태(wlsx****),'영화보면서 우는사람들 이해가 안되...' 라 했었던 날 완전히 뒤바꾼영화영활보면서 이렇게 질질 짜본건 처음이었다 정말 재미있고 너무 슬프며 미칠듯이 사랑스러운 영화 손예진짱짱 ㅠㅠㅠ♥♥♥♥♥♥♥♥♥♥...,10,454,75,2013-07-11 00:32:00,0
8,park****,오늘 cgv에서 시청한것까지 8번 봤는데 8번 다 울었다..마지막 편의점장면에서 눈물을 참을수없다..,10,373,26,2013-06-27 13:49:00,0
9,hjs7****,예진 누나 너무 예뻐서 만점,10,357,38,2013-05-28 21:01:00,0
10,갈비(hehe****),오늘 처음봤는데 눈물 펑펑 쏟았네요 특히 기억이 돌아온 수진이 급하게 편지를 쓰는 장면이...ㅠㅠ마지막 장면까지 오랫동안 기억하게 될 영화네요,10,307,15,2013-06-27 14:03:00,0
11,Mein(host****),오직그대만보다 이게 평점이 더 안좋은게 이해가 안간다 이작품이 훨씬좋다,10,285,32,2013-10-04 14:09:00,0
12,Memini(godd****),손예진의 뒤를 이을 배우가 아직 안나오고 있다..,10,270,27,2013-01-03 16:05:00,0
13,ysmi****,대한민국여배우중에이렇게우는모습도예쁜여자가또있을까?,8,245,21,2014-09-15 00:22:00,0
14,alsc****,솔찍히 너무슬프고 애절한이야기인데  이만큼평점이낮은거에 안타갑다 평점만보고영화보시는분들  일단한번보고이야기하시죠?,10,225,16,2013-02-08 19:21:00,0
15,shin****,두 남녀의 사랑이 훌륭한 건축가를 만들고 집을 짓는 꿈을 꾸게하며 날 버린 어머니를 용서하게하고 궁국적으로는 성숙한 사랑으로 거듭난다... 다시보니 명작이었네...,10,220,12,2013-04-21 03:52:00,0
16,cjhc****,이 영화에서 나는 배우 정우성의 연기가 좋다. 그 만의 느낌....그가 표현해 내는 철수는 누가해도 따라오지 못할듯. 정우성의 재발견!,10,199,9,2014-01-11 05:41:00,0
17,무어별(ahun****),10년 전이면 손예진 23살때....대단해요!,8,185,18,2014-09-14 23:40:00,0
18,jinw****,재개봉 원합니다.원하시면 좋아요 눌러주세요,10,172,6,2016-05-10 16:44:00,0
