,nickname,text,score,like,dislike,time,watch_movie
0,gmlw****,중후반부터 나문희 선생님 얼굴에서 울 어머니 얼굴이 보이는 매직이 펼쳐짐,10,337,136,2020-09-02 12:55:00,관람객
1,진(park****),간만에 밝은 영화 보고 제대루 기분 좋았고 오랜만에 맘껏 웃었다!ㅋㅋ,10,196,93,2020-09-02 13:23:00,관람객
2,구빰(0hys****),강아지까지 명연기ㄷㄷ 조연까지 완벽한 케미스트리 뿜뿜 영화였음!,10,175,84,2020-09-02 13:29:00,관람객
3,오은정(quda****),정말 보고나면 가슴 뭉클 따뜻해지는 영화... 앵자 귀여운거 덤,10,173,85,2020-09-02 15:11:00,관람객
4,히후히후호히후(nipa****),평점 다 알바냐고요 누가 이 영화에 10점 주는건지 돈을 주지 않고서야 이해할 수 없음. 나문희씨가 왜 이 영화를 고르셨는지 그저 한탄이 나오는 영화. 초반에 사건이 시작되는 스토리부터 전혀 공감되지 않는 설정을 보...,2,198,119,2020-09-03 23:34:00,0
5,졔(jiji****),내가 대표로 봤으니깐... 너넨 보지마라 ㅜ,1,116,47,2020-09-08 01:23:00,0
6,Hailey(hyel****),코미디물 이라고 생각했는데 반전 + 심장쫄깃 수사물이었다....,10,162,94,2020-09-02 12:52:00,관람객
7,나혼자호로록(ahn0****),귀에서 자꾸 맴도는 옹헤야~ 웃음도 눈물도 억지가 아닌 자연스러운 웃음과 울컥이라 더더욱 좋았다. 나문희 선생님과 이희준 배우의 연기가 모자 케미에 생명력까지 한껏 불어넣어 나도 모르는 새에 두 모자를 응원하고 있게...,10,122,68,2020-09-02 15:33:00,관람객
8,sky(skya****),관객분들 같은돈 주고 보는데 테넷하고 이거 중에 뭐보실래요?,1,131,81,2020-09-04 09:17:00,0
9,꾸꾸리(pyod****),영화 후유증이 ㅋㅋㅋ 충청도 사투리에 중독되버렸다,10,121,75,2020-09-02 13:30:00,관람객
10,꽝꽝(nuby****),요즘 엄마아빠랑 같이 볼 영화가 별로 없었는데 이건 진짜 가족끼리 보기 딱 좋다!,10,91,54,2020-09-02 13:22:00,관람객
11,JeonSG(juns****),댓글알바진짜.. 아.. 진짜 미치겠다 테넷볼껄 내시간 내돈.. 이젠 하다하다 댓글알바도쓰나..,1,80,44,2020-09-04 16:11:00,0
12,제이원(baca****),영화 보고 엄마아빠랑 한번 더 보려고 예매했어요! 가족과 함께 보면 즐거움이 배가 될듯ㅎㅎ,10,100,70,2020-09-02 13:30:00,관람객
13,lmh6****,유쾌상쾌통쾌 + 감동까지 겸한 멀티 장르! 울다웃다 간만에 힐링했음,10,81,55,2020-09-02 13:28:00,관람객
14,jung****,이렇게까지 시간과 돈이 아까운 영화는 정말 오랜만이었습니다.몇몇 배우분들의 연기는 좋았습니다.장면 장면이 넘어가는 것도 어색하고 스토리도 너무 뻔했어요.,1,55,30,2020-09-07 20:52:00,0
15,박상태(pit1****),또 다른 피해자가 나오지 않길,1,52,28,2020-09-07 23:52:00,0
16,yhp0****,진짜 별로였어요 웬만하면 리뷰안적는데..,1,54,30,2020-09-06 19:32:00,0
